accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.9,0.947368421052632,0,0.580645161290323,0.947368421052632,0,31,1.55,19,12,18,0,0.5,3.5,1.5,0.1,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.1,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.1,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.1,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.1,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.1,-0.05,0
0.4,0.368421052631579,1,0.290322580645161,0.368421052631579,0.166666666666667,31,1.55,19,12,7,2,0.5,3.5,1.5,0.15,-0.45,0
0.65,0.684210526315789,0,0.419354838709677,0.684210526315789,0,31,1.55,19,12,13,0,0.5,3.5,1.5,0.15,-0.4,0
0.85,0.894736842105263,0,0.548387096774194,0.894736842105263,0,31,1.55,19,12,17,0,0.5,3.5,1.5,0.15,-0.35,0
0.9,0.947368421052632,0,0.580645161290323,0.947368421052632,0,31,1.55,19,12,18,0,0.5,3.5,1.5,0.15,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.15,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.15,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.15,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.15,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.15,-0.05,0
0.4,0.368421052631579,1,0.272727272727273,0.368421052631579,0.142857142857143,33,1.65,19,14,7,2,0.5,3.5,1.5,0.2,-0.45,0
